EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Estimatedtorque
 2     5     7     1     -1    2     1     1     0 0 0 0 0 0 4.066402
 6     13    38    22    10    4     2     2     0 0 0 0 0 0 4.212204
 6     13    38    22    10    4     2     2     0 0 0 0 0 0 4.335710
 6     13    38    22    10    4     2     2     0 0 0 0 0 0 4.433905
 -1    15    -15   -1    -6    -1    -2    -1    0 0 0 0 0 0 4.506484
 -4    -15   -10   -7    -10   -5    -7    -5    0 0 0 0 0 0 4.556402
 -4    -15   -10   -7    -10   -5    -7    -5    0 0 0 0 0 0 4.589408
 -4    -15   -10   -7    -10   -5    -7    -5    0 0 0 0 0 0 4.612609
 -1    -12   -7    -4    4     -5    1     -1    0 0 0 0 0 0 4.632862
 -1    -12   -7    -4    4     -5    1     -1    0 0 0 0 0 0 4.655401
 -2    -10   12    -9    -5    0     -2    0     0 0 0 0 0 0 4.683231
 -2    -10   12    -9    -5    0     -2    0     0 0 0 0 0 0 4.717207
 1     2     -8    4     3     -6    -3    -1    0 0 0 0 0 0 4.756370
 1     2     -8    4     3     -6    -3    -1    0 0 0 0 0 0 4.798417
 1     -3    2     5     2     -2    0     0     0 0 0 0 0 0 4.840085
 1     -3    2     5     2     -2    0     0     0 0 0 0 0 0 4.877530
 1     -3    2     5     2     -2    0     0     0 0 0 0 0 0 4.906641
 0     22    -4    -1    5     5     2     -1    0 0 0 0 0 0 4.923519
 2     9     -15   -3    0     8     7     5     0 0 0 0 0 0 4.925178
 -1    -10   -6    1     -2    -1    -1    -2    0 0 0 0 0 0 4.909985
 -1    -10   -6    1     -2    -1    -1    -2    0 0 0 0 0 0 4.877606
